dataset,train_loss,train_acc,val_loss,val_acc,time_elapsed_sec,total_time_elapsed_sec,model_index,arch_hidden_layers,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_batch_size,arch_random_seed
Fashion,0.38841093625341144,0.8696651785714286,0.3529894529070173,0.8802678571428572,524.0142450332642,524.0142450332642,1,"[300, 370, 67, 97]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.005386658388775464,1024,777
Fashion,2.2915511471884593,0.12754464285714287,2.287157496043614,0.41875,59.372162103652954,584.7887518405914,2,"[52, 213, 310]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.009907091746219423,1024,1337
Fashion,2.053946637255805,0.2357142857142857,1.6644623487336294,0.344375,154.4657506942749,739.256502866745,3,"[374, 277, 140, 351, 309, 136]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.005674528368838528,32,1337
Fashion,0.19180046805313655,0.9271205357142858,0.32760669350624083,0.9025,38.78670024871826,778.0508975982666,4,"[145, 413, 40]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0035470587822485785,1024,777
Fashion,2.306390803030559,0.10051339285714286,2.3036421292168754,0.10491071428571429,165.96434020996094,944.0172581672668,5,"[23, 306, 169, 293, 197]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0042863326848413515,32,42
Fashion,0.12257090576525245,0.9569642857142857,0.3299342224427632,0.9011607142857143,252.58999514579773,1196.6110093593597,6,"[165, 175, 315]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003042276845997773,64,42
Fashion,2.302767630985805,0.09928571428571428,2.3022775500161305,0.10491071428571429,53.29427218437195,1249.9072842597961,7,"[397, 37, 55, 381, 265, 489, 195]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.009030914573623133,512,13
Fashion,0.05852569637554032,0.97953125,0.4524984199660165,0.9036607142857143,53.65866827964783,1303.5696382522583,8,"[343, 253, 384, 375, 404]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0010747529832410333,1024,2024
Fashion,2.328499005181449,0.09694196428571429,2.3041006905691965,0.10223214285714285,25.876174926757812,1329.4524674415588,9,"[125, 16, 343, 58, 321]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.004769774881599839,1024,13
Fashion,0.18072392778737204,0.9323883928571428,0.3467153172833579,0.8998214285714285,40.66996932029724,1370.1244370937347,10,"[102, 469, 134, 247]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.003699938671018706,512,42
Fashion,0.1639020519756845,0.94390625,0.4024494395511491,0.8946428571428572,324.44153881073,1694.5691146850586,11,"[449, 107, 123, 453, 417, 118, 124]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0021166441466063425,64,777
Adult,0.2972010620778822,0.86304306097639,0.3260636970925163,0.8502879078694817,22.427961587905884,22.427961587905884,1,"[446, 27, 57, 486, 458]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.009930399835011379,512,1337
Adult,0.26360999674255203,0.8771514492289973,0.3292690643994227,0.8525911708253359,78.24275851249695,100.67390942573547,2,"[247, 27, 409, 414]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.0011644576696575944,512,13
Adult,1.411219081781641,0.749216200652633,0.5330637238876833,0.7612284069097889,102.54615426063538,203.22306656837463,3,"[95, 185, 27, 74, 150, 480]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.009995031201913099,32,1337
Adult,0.4022849959751734,0.8121760829227718,0.3372262587550353,0.8391554702495202,19.310916423797607,222.53648447990417,4,"[507, 186, 483, 85, 479]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.00776823868984232,256,42
Adult,0.31867514083219034,0.8544692558704972,0.3224188608804423,0.8470889315419066,57.2558217048645,279.7953064441681,5,"[224, 47, 110, 153, 239]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.004549872825216197,256,2024
Adult,0.27792640309834465,0.8719047923731524,0.3235519388586912,0.8487523992322457,43.47342300415039,323.27042174339294,6,"[497, 393, 214, 463]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.008699003123337407,128,1337
Adult,0.29210998894683354,0.8664341928466313,0.3154519662632823,0.8502879078694817,100.01199221611023,423.2859206199646,7,"[320, 229, 352]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.008000096923886355,32,2024
Adult,0.32076021995743664,0.8530936080363427,0.32245354202414506,0.8488803582853487,77.89239144325256,501.1803104877472,8,"[233, 192, 511, 91, 450, 85]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003439495704250169,128,1337
Adult,0.5556852304361108,0.761852965640796,0.549720147505679,0.7612284069097889,15.85587739944458,517.0393657684326,9,"[506, 120, 482, 198, 272]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.008391157477723784,1024,1337
Adult,0.313912871354326,0.8561648218056178,0.3203799722672119,0.8472168905950096,84.98971939086914,602.032084941864,10,"[302, 132, 304, 208]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.008138115300515603,1024,1337
Adult,0.5681111765949746,0.7453771834410391,0.5496638996663645,0.7612284069097889,34.88129448890686,636.915379524231,11,"[312, 214, 65]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.001254750415105674,64,777
Adult,0.2996090242852633,0.8629470855461002,0.3196057203635144,0.8496481126039668,18.69330883026123,655.6096880435944,12,"[401, 405, 312, 64, 466, 281, 203]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.005790057701383127,1024,1337
Adult,0.33236314758960644,0.8488706891035894,0.35623310820765014,0.8440179142674344,183.87751531600952,839.4912641048431,13,"[465, 357, 32, 366, 468]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.002341279608243616,32,42
Adult,0.3326973018780331,0.8452876063727686,0.31814618448912146,0.8477287268074216,176.6160225868225,1016.1112875938416,14,"[139, 16]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0013141185873614294,64,1337
Adult,0.28978536585347653,0.86720199628895,0.32264045854256995,0.8507997440818938,112.05776333808899,1128.1690509319305,15,"[146, 292, 293, 116, 46]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.002032933257600596,64,1337
Higgs,0.5744948083499692,0.6968702192758797,,0.7074196838347782,146.00484991073608,146.00484991073608,1,"[301, 364]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.00688206287929471,64,13
Higgs,0.6925014682049535,0.5276007139214687,,0.5304054054054054,34.76951885223389,180.77636790275574,2,"[509, 334, 429, 279, 104, 360]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.004200038917513764,1024,777
Higgs,0.5421971567640008,0.7104315400305966,,0.7032763895971443,168.34214854240417,349.12152457237244,3,"[436, 312]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.00848869488696143,32,2024
Higgs,0.5802437036028935,0.6987825089240184,,0.7114354920958694,95.56614518165588,444.6896722316742,4,"[124, 138, 247, 244, 281]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0070171317708127455,128,42
Higgs,0.5508878051717935,0.714351733809281,,0.7158975012748597,266.4691767692566,711.160849571228,5,"[101, 394, 453]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.008713346587908398,64,13
Higgs,0.5420583371359861,0.7196424018357981,,0.710670576236614,44.800759077072144,755.9636085033417,6,"[411, 207, 400, 475, 151, 330, 144]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.006175823062102825,256,42
Higgs,0.5597228461810972,0.7062882457929628,,0.7056348801631821,556.7076270580292,1312.6742355823517,7,"[236, 494]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0037114602842046518,32,777
Higgs,0.6529146183941329,0.6412225905150434,,0.6816675165731769,252.05009174346924,1564.726343870163,8,"[158, 154]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.008096469973676796,32,2024
Higgs,0.5146607893088349,0.74443842427333,,0.7036588475267721,354.9024872779846,1919.6303346157074,9,"[419, 221]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.003994765349015297,512,13
Higgs,0.5052550277619992,0.743450407955125,,0.7175548189699134,39.891682863235474,1959.523136138916,10,"[397, 343, 284, 42, 75, 25, 18]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0033624587863680566,1024,1337
Higgs,0.7010165170283418,0.5261186894441612,,0.5304054054054054,35.63355469703674,1995.1597001552582,11,"[305, 368, 120]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0013984373644654918,512,13
Higgs,0.6932772917445978,0.5231068332483427,,0.5304054054054054,67.43906021118164,2062.600759267807,12,"[416, 323, 390, 390, 465, 169, 32]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.007848117591528671,128,1337
Higgs,0.6318840456367573,0.6335574961754207,,0.6459714431412544,2445.3275468349457,4507.935945510864,13,"[416, 344]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.sgd.SGD'>,0.003329340330180271,32,777
Jasmine,0.694690700692616,0.5086432687270822,0.6924051592539544,0.5334728033472803,1.8449513912200928,1.8449513912200928,1,"[94, 268, 13, 93, 274]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00945406541475671,128,2024
Jasmine,0.028971575624994923,0.9905709795704557,2.418443441390991,0.7803347280334728,2.265580892562866,4.112534999847412,2,"[499, 285, 117, 288, 389, 95]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.009267119952021532,512,2024
Jasmine,0.645631928916,0.7668936616029335,0.616905689239502,0.7552301255230126,1.1881213188171387,5.303171873092651,3,"[437, 372, 463, 109, 303]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.adam.Adam'>,0.0018007207684839354,512,1337
Jasmine,0.01849435408384529,0.9931901519119958,2.0944981575012207,0.7907949790794979,1.3526525497436523,6.659834861755371,4,"[203, 307, 428]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.002312629377449999,512,2024
Jasmine,0.3940308602178453,0.8124672603457308,0.47193747758865356,0.7677824267782427,1.0146477222442627,7.677492380142212,5,"[147, 224, 141, 43, 398]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.006669042296623871,512,42
Jasmine,0.22461720259792833,0.9167103195390257,0.5106954729207889,0.7719665271966527,7.532146453857422,15.210639476776123,6,"[384, 64, 195, 56, 19, 99, 386]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.0029499419312488937,64,42
Jasmine,0.6218593602657568,0.7407019381875327,0.6195718820623773,0.7552301255230126,2.444941997528076,17.659096002578735,7,"[180, 484]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.0012218680436368822,256,2024
Jasmine,0.03712410640192007,0.9889994761655317,1.0991384404473723,0.7782426778242678,6.6061015129089355,24.267197847366333,8,"[71, 126, 359, 216]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.004314166971463798,128,777
Jasmine,0.45721144580041756,0.786799371398638,0.4718877650703845,0.7719665271966527,3.1225504875183105,27.391748666763306,9,"[452, 362, 462, 96]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.0010432463509864264,64,1337
Jasmine,0.5818496415476452,0.7228915662650602,0.5514415502548218,0.7531380753138075,3.536874294281006,30.931339502334595,10,"[217, 478]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0014207092884412935,64,1337
Jasmine,0.0688209142984755,0.9732844421162913,0.8694557335586228,0.7845188284518828,1.7307331562042236,32.663073778152466,11,"[387, 250]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.006585852644388205,256,777
Jasmine,0.14634428935924582,0.9512833944473547,0.5747868696765421,0.7740585774058577,8.406958818435669,41.07203245162964,12,"[224, 458]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.006906864276000607,64,13
Jasmine,0.4893773830236722,0.7658459926663175,0.46540510953719644,0.7635983263598326,4.344478368759155,45.417510986328125,13,"[144, 203, 338]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.005688027388153941,256,1337
Jasmine,0.30972865431517316,0.8795180722891566,0.476426812520087,0.7698744769874477,4.773085117340088,50.19259595870972,14,"[321, 374, 69, 233]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.008496639910199656,128,1337
Jasmine,0.1152803124386706,0.9580932425353589,0.9115219530201357,0.7907949790794979,1.2501335144042969,51.4439435005188,15,"[150, 205]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.008268479936494013,256,1337
Jasmine,0.6961396506096194,0.4939759036144578,0.6908718347549438,0.5334728033472803,1.021404504776001,52.46634817123413,16,"[230, 319, 185, 388, 45, 288]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0017941964831810172,512,1337
Jasmine,0.695988569820408,0.49869041382922996,0.6954358282448357,0.4665271966527197,1.4926509857177734,53.960997104644775,17,"[91, 309, 62]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.008562997135371554,128,777
Jasmine,0.016656305099412558,0.9947616553169198,2.1870310815308383,0.7615062761506276,3.650752305984497,57.61326026916504,18,"[44, 237, 412]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0037668223172889767,64,2024
Jasmine,0.6927797452450548,0.5044525929806182,0.6920781828868339,0.7175732217573222,2.909986734390259,60.5252468585968,19,"[427, 299, 188]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.009191365928918976,128,13
Jasmine,0.5185437597424151,0.7668936616029335,0.5183295475389169,0.7761506276150628,1.6331560611724854,62.160401344299316,20,"[117, 263]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.004937261016990418,256,1337
Jasmine,0.6935472418151644,0.5018334206390781,0.6921945613298456,0.5334728033472803,1.5917408466339111,63.753143310546875,21,"[464, 191, 165, 148, 344, 46, 212]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.007927573548283872,256,777
Jasmine,0.02233795676089632,0.9942378208486118,3.7743100860627625,0.7782426778242678,3.1499099731445312,66.9060537815094,22,"[141, 273, 184, 415, 260, 323]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.007945086409909798,256,1337
